price,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_Kitchen,amenities_Wifi,amenities_Smoke alarm,amenities_Essentials,amenities_Hot water,amenities_Hair dryer,amenities_Dishes and silverware,amenities_Hangers,amenities_Cooking basics,amenities_Bed linens,amenities_Iron,amenities_Refrigerator,amenities_Heating,amenities_Microwave,amenities_TV
,Lormont,Entire rental unit,Entire home/apt,4,,1.0,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
$140.00,Bouliac,Entire home,Entire home/apt,4,2.0,2.0,2.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
$80.00,Bruges,Entire condo,Entire home/apt,2,1.5,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,Le Bouscat,Entire home,Entire home/apt,5,,3.0,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
$185.00,Bgles,Entire home,Entire home/apt,6,2.0,4.0,4.0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1
$109.00,Bruges,Entire home,Entire home/apt,3,1.5,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
$49.00,Nansouty - Saint Gens,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
$650.00,La Glacire,Entire villa,Entire home/apt,9,3.5,4.0,4.0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
$150.00,Arlac,Entire home,Entire home/apt,8,1.0,3.0,3.0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
$70.00,Chartrons - Grand Parc - Jardin Public,Private room in rental unit,Private room,1,1.0,1.0,1.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
$79.00,Le Bouscat,Entire condo,Entire home/apt,4,1.0,1.0,2.0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
$30.00,Talence,Private room in rental unit,Private room,1,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
$58.00,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
$130.00,Talence,Entire townhouse,Entire home/apt,6,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,2,,1.0,,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
$78.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
$76.00,Bgles,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$155.00,Verthamon,Entire home,Entire home/apt,6,2.0,4.0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$80.00,Bordeaux Maritime,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
,La Bastide,Private room in townhouse,Private room,1,,,,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
$69.00,Bruges,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$156.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,5,1.0,3.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
,Centre ville (Bordeaux),Entire townhouse,Entire home/apt,6,,3.0,,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
